,nav,PnL,cash_ratio,annulized_volatility,daily_volatility,VaR_0.999,max_draw_down_duration,leverage
2014-01-02 09:42:00,100000000.0,,1.0,,,,0,0.0
2014-01-02 09:43:00,100000000.0,0.0,1.0,,,,0,0.0
2014-01-02 09:44:00,99899820.37,-100179.62999999523,0.49859954888325286,,,,1,0.5014004511167471
2014-01-02 09:45:00,99871917.37,-27903.0,0.49873885153788144,,,,2,0.5012611484621186
2014-01-02 09:46:00,99858555.37,-13362.0,0.498805587417542,,,,3,0.501194412582458
2014-01-02 09:47:00,99857114.37,-1441.0,0.4988127854910694,,,,4,0.5011872145089306
2014-01-02 09:48:00,99845848.37,-11266.0,0.49886906850065954,,,,5,0.5011309314993405
2014-01-02 09:49:00,99831700.37,-14148.0,0.498939767482596,,,,6,0.501060232517404
2014-01-02 09:50:00,99842180.37,10480.0,0.49888739594239284,,,,7,0.5011126040576072
2014-01-02 09:51:00,99870345.37,28165.0,0.4987467018909739,,,,8,0.5012532981090261
2014-01-02 09:52:00,99880694.37,10349.0,0.4986950249412848,,,,9,0.5013049750587152
2014-01-02 09:53:00,99887506.37,6812.0,0.4986610155778183,,,,10,0.5013389844221817
2014-01-02 09:54:00,99896021.37,8515.0,0.49861851039603616,,,,11,0.5013814896039639
2014-01-02 09:55:00,99897200.37,1179.0,0.49861262563428527,,,,12,0.5013873743657147
2014-01-02 09:56:00,99809068.63000001,-88131.73999999464,0.9959964459594215,,,,13,0.004003554040578516
2014-01-02 09:57:00,99809092.63000001,24.0,0.9959962064630582,,,,14,0.004003793536941754
2014-01-02 09:58:00,99708892.41000001,-100200.21999999881,0.5015459624640716,,,,15,0.4984540375359285
2014-01-02 09:59:00,99712012.41000001,3120.0,0.5015302690349143,,,,16,0.4984697309650858
2014-01-02 10:00:00,99717862.41000001,5850.0,0.5015008465021509,,,,17,0.4984991534978492
2014-01-02 10:01:00,99735022.41000001,17160.0,0.5014145603178394,,,,18,0.4985854396821606
2014-01-02 10:02:00,99662425.73000002,-72596.67999999225,1.0,,,,19,0.0
2014-01-02 10:03:00,99662425.73000002,0.0,1.0,,,,20,0.0
2014-01-02 10:04:00,99562105.40600002,-100320.32400000095,0.4961922330242612,,,,21,0.5038077669757388
2014-01-02 10:05:00,99547040.40600002,-15065.0,0.4962673245182928,,,,22,0.5037326754817072
2014-01-02 10:06:00,99543785.33400002,-3255.0719999969006,0.5001237713329735,,,,23,0.4998762286670266
2014-01-02 10:07:00,99550025.33400002,6240.0,0.500092422548052,,,,24,0.49990757745194797
2014-01-02 10:08:00,99561725.33400002,11700.0,0.5000336541676912,,,,25,0.49996634583230887
2014-01-02 10:09:00,99583695.33400002,21970.0,0.499923337520521,,,,26,0.500076662479479
2014-01-02 10:10:00,99614650.36400002,30955.030000001192,0.49592066210627544,,,,27,0.5040793378937246
2014-01-02 10:11:00,99658404.36400002,43754.0,0.495702933227429,,,,28,0.504297066772571
2014-01-02 10:12:00,99619794.31200002,-38610.05200000107,0.9891710075547702,,,,29,0.010828992445229852
2014-01-02 10:13:00,99620146.31200002,352.0,0.9891675123963354,,,,30,0.01083248760366466
2014-01-02 10:14:00,99519454.99200001,-100691.32000000775,0.5016486976944678,,,,31,0.49835130230553215
2014-01-02 10:15:00,99537524.99200001,18070.0,0.5015576286030065,,,,32,0.49844237139699354
2014-01-02 10:16:00,99534404.99200001,-3120.0,0.5015733504009251,,,,33,0.4984266495990749
2014-01-02 10:17:00,99535704.99200001,1300.0,0.5015667995320126,,,,34,0.49843320046798745
2014-01-02 10:18:00,99545324.99200001,9620.0,0.5015183284198645,,,,35,0.49848167158013545
2014-01-02 10:19:00,99565344.99200001,20020.0,0.5014174861344712,,,,36,0.49858251386552876
2014-01-02 10:20:00,99583674.99200001,18330.0,0.5013251920659747,,,,37,0.49867480793402524
2014-01-02 10:21:00,99606034.99200001,22360.0,0.5012126523860698,,,,38,0.4987873476139301
