,zz500
2014-01-02 13:51:00,-127.0
2014-01-02 13:52:00,-127.0
2014-01-02 13:53:00,-127.0
2014-01-02 13:54:00,-127.0
2014-01-02 13:55:00,-127.0
2014-01-02 13:56:00,-127.0
2014-01-02 13:57:00,-127.0
2014-01-02 13:58:00,-127.0
2014-01-02 13:59:00,-127.0
2014-01-02 14:00:00,-127.0
2014-01-02 14:01:00,-127.0
2014-01-02 14:02:00,-127.0
2014-01-02 14:03:00,-127.0
2014-01-02 14:04:00,-127.0
2014-01-02 14:05:00,-127.0
2014-01-02 14:06:00,-127.0
2014-01-02 14:07:00,-127.0
2014-01-02 14:08:00,-127.0
2014-01-02 14:09:00,-127.0
2014-01-02 14:10:00,-127.0
2014-01-02 14:11:00,-127.0
2014-01-02 14:12:00,-127.0
2014-01-02 14:13:00,-127.0
2014-01-02 14:14:00,-127.0
2014-01-02 14:15:00,-127.0
2014-01-02 14:16:00,-127.0
2014-01-02 14:17:00,-127.0
2014-01-02 14:18:00,-127.0
2014-01-02 14:19:00,-127.0
2014-01-02 14:20:00,-127.0
2014-01-02 14:21:00,-127.0
2014-01-02 14:22:00,-127.0
2014-01-02 14:23:00,-127.0
2014-01-02 14:24:00,-127.0
2014-01-02 14:25:00,-127.0
2014-01-02 14:26:00,-127.0
2014-01-02 14:27:00,-127.0
2014-01-02 14:28:00,-127.0
2014-01-02 14:29:00,-127.0
2014-01-02 14:30:00,-127.0
2014-01-02 14:31:00,-127.0
2014-01-02 14:32:00,-127.0
2014-01-02 14:33:00,-127.0
2014-01-02 14:34:00,-127.0
2014-01-02 14:35:00,-127.0
2014-01-02 14:36:00,-127.0
2014-01-02 14:37:00,-127.0
2014-01-02 14:38:00,-1.0
2014-01-02 14:39:00,-1.0
2014-01-02 14:40:00,126.0
2014-01-02 14:41:00,126.0
2014-01-02 14:42:00,126.0
2014-01-02 14:43:00,126.0
2014-01-02 14:44:00,126.0
2014-01-02 14:45:00,126.0
2014-01-02 14:46:00,0.0
2014-01-02 14:47:00,0.0
2014-01-02 14:48:00,-127.0
2014-01-02 14:49:00,-127.0
2014-01-02 14:50:00,-126.0
2014-01-02 14:51:00,-126.0
2014-01-02 14:52:00,-126.0
2014-01-02 14:53:00,-126.0
2014-01-02 14:54:00,-126.0
2014-01-02 14:55:00,-126.0
2014-01-02 14:56:00,-126.0
2014-01-02 14:57:00,-126.0
2014-01-02 14:58:00,-126.0
2014-01-02 14:59:00,-126.0
2014-01-02 15:00:00,-126.0
2014-01-03 09:31:00,-126.0
2014-01-03 09:32:00,-127.0
2014-01-03 09:33:00,-127.0
2014-01-03 09:34:00,-3.0
2014-01-03 09:35:00,-3.0
2014-01-03 09:36:00,126.0
2014-01-03 09:37:00,126.0
2014-01-03 09:38:00,125.0
2014-01-03 09:39:00,125.0
2014-01-03 09:40:00,-1.0
2014-01-03 09:41:00,-1.0
2014-01-03 09:42:00,-126.0
2014-01-03 09:43:00,-126.0
2014-01-03 09:44:00,-127.0
2014-01-03 09:45:00,-127.0
2014-01-03 09:46:00,-3.0
2014-01-03 09:47:00,-3.0
2014-01-03 09:48:00,125.0
2014-01-03 09:49:00,125.0
2014-01-03 09:50:00,125.0
2014-01-03 09:51:00,125.0
2014-01-03 09:52:00,-1.0
2014-01-03 09:53:00,-1.0
2014-01-03 09:54:00,-126.0
2014-01-03 09:55:00,-126.0
2014-01-03 09:56:00,-126.0
2014-01-03 09:57:00,-126.0
2014-01-03 09:58:00,-126.0
2014-01-03 09:59:00,-126.0
2014-01-03 10:00:00,-126.0
2014-01-03 10:01:00,-126.0
2014-01-03 10:02:00,-126.0
2014-01-03 10:03:00,-126.0
2014-01-03 10:04:00,-2.0
2014-01-03 10:05:00,-2.0
2014-01-03 10:06:00,126.0
2014-01-03 10:07:00,126.0
2014-01-03 10:08:00,125.0
2014-01-03 10:09:00,125.0
2014-01-03 10:10:00,125.0
2014-01-03 10:11:00,125.0
2014-01-03 10:12:00,126.0
