,zz500
2014-01-02 13:49:00,3836.51
2014-01-02 13:50:00,3836.52
2014-01-02 13:51:00,3836.19
2014-01-02 13:52:00,3836.65
2014-01-02 13:53:00,3836.58
2014-01-02 13:54:00,3836.36
2014-01-02 13:55:00,3836.73
2014-01-02 13:56:00,3836.36
2014-01-02 13:57:00,3837.03
2014-01-02 13:58:00,3837.6
2014-01-02 13:59:00,3837.92
2014-01-02 14:00:00,3838.24
2014-01-02 14:01:00,3838.52
2014-01-02 14:02:00,3838.72
2014-01-02 14:03:00,3838.6
2014-01-02 14:04:00,3838.42
2014-01-02 14:05:00,3839.02
2014-01-02 14:06:00,3839.41
2014-01-02 14:07:00,3839.76
2014-01-02 14:08:00,3840.31
2014-01-02 14:09:00,3840.44
2014-01-02 14:10:00,3841.21
2014-01-02 14:11:00,3841.98
2014-01-02 14:12:00,3842.68
2014-01-02 14:13:00,3842.2
2014-01-02 14:14:00,3843.47
2014-01-02 14:15:00,3844.6
2014-01-02 14:16:00,3845.32
2014-01-02 14:17:00,3846.23
2014-01-02 14:18:00,3846.76
2014-01-02 14:19:00,3846.15
2014-01-02 14:20:00,3845.68
2014-01-02 14:21:00,3845.67
2014-01-02 14:22:00,3845.95
2014-01-02 14:23:00,3846.78
2014-01-02 14:24:00,3847.13
2014-01-02 14:25:00,3847.22
2014-01-02 14:26:00,3847.49
2014-01-02 14:27:00,3846.88
2014-01-02 14:28:00,3846.34
2014-01-02 14:29:00,3846.71
2014-01-02 14:30:00,3846.96
2014-01-02 14:31:00,3846.9
2014-01-02 14:32:00,3846.71
2014-01-02 14:33:00,3846.1
2014-01-02 14:34:00,3846.0
2014-01-02 14:35:00,3845.78
2014-01-02 14:36:00,3845.16
2014-01-02 14:37:00,3844.3
2014-01-02 14:38:00,3843.18
2014-01-02 14:39:00,3843.28
2014-01-02 14:40:00,3843.19
2014-01-02 14:41:00,3843.14
2014-01-02 14:42:00,3843.52
2014-01-02 14:43:00,3843.45
2014-01-02 14:44:00,3842.97
2014-01-02 14:45:00,3843.1
2014-01-02 14:46:00,3843.2
2014-01-02 14:47:00,3843.26
2014-01-02 14:48:00,3844.05
2014-01-02 14:49:00,3844.3
2014-01-02 14:50:00,3844.3
