,nav,order num,trade_cost,trade_volume,cash,ret,cum_ret,draw_down,turnover
2014-01-02 09:42:00,100000000.0,0.0,0.0,0.0,100000000.0,,,0.0,0.0
2014-01-02 09:43:00,100000000.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0
2014-01-02 09:44:00,99899820.37,1.0,100179.63,50189994.63,49810005.37,-0.0010022984332981805,-0.0010022984332981805,-0.0010017962999999686,0.5024032520189806
2014-01-02 09:45:00,99871917.37,0.0,0.0,0.0,49810005.37,-0.0002793488257860762,-0.0012816472590842568,-0.0012808262999999265,0.0
2014-01-02 09:46:00,99858555.37,1.0,0.0,0.0,49810005.37,-0.00013380031435996305,-0.0014154475734442199,-0.001414446299999983,0.0
2014-01-02 09:47:00,99857114.37,0.0,0.0,0.0,49810005.37,-1.4430515160926929e-05,-0.0014298780886051468,-0.0014288563000000032,0.0
2014-01-02 09:48:00,99845848.37,1.0,0.0,0.0,49810005.37,-0.0001128275700809007,-0.0015427056586860474,-0.0015415162999999898,0.0
2014-01-02 09:49:00,99831700.37,0.0,0.0,0.0,49810005.37,-0.0001417084706112637,-0.001684414129297311,-0.001682996299999906,0.0
2014-01-02 09:50:00,99842180.37,1.0,0.0,0.0,49810005.37,0.00010497116569065288,-0.0015794429636066581,-0.001578196300000001,0.0
2014-01-02 09:51:00,99870345.37,0.0,0.0,0.0,49810005.37,0.00028205542023324563,-0.0012973875433734126,-0.0012965462999999788,0.0
2014-01-02 09:52:00,99880694.37,1.0,0.0,0.0,49810005.37,0.00010361898513995476,-0.0011937685582334577,-0.001193056299999995,0.0
2014-01-02 09:53:00,99887506.37,0.0,0.0,0.0,49810005.37,6.819904246438746e-05,-0.0011255695157690703,-0.0011249362999999901,0.0
2014-01-02 09:54:00,99896021.37,1.0,0.0,0.0,49810005.37,8.524226297813492e-05,-0.0010403272527909355,-0.0010397862999999008,0.0
2014-01-02 09:55:00,99897200.37,0.0,0.0,0.0,49810005.37,1.1802202194237446e-05,-0.001028525050596698,-0.0010279962999999448,0.0
2014-01-02 09:56:00,99809068.63000001,1.0,99397.73999999999,49798267.739999995,99409477.63,-0.0008826137122541697,-0.0019111387628508677,-0.001909313699999915,0.49893530140638875
2014-01-02 09:57:00,99809092.63000001,0.0,0.0,0.0,99409477.63,2.4045908304507246e-07,-0.0019108983037678226,-0.0019090736999999303,0.0
2014-01-02 09:58:00,99708892.41000001,1.0,100165.22,50182775.22,50008592.41000001,-0.001004423018846742,-0.0029153213226145646,-0.0029110758999998376,0.5032928759618541
2014-01-02 09:59:00,99712012.41000001,0.0,0.0,0.0,50008592.41000001,3.1290601184103584e-05,-0.002884030721430461,-0.0028798758999999396,0.0
2014-01-02 10:00:00,99717862.41000001,1.0,0.0,0.0,50008592.41000001,5.8667238365967026e-05,-0.0028253634830644942,-0.0028213758999998673,0.0
2014-01-02 10:01:00,99735022.41000001,0.0,0.0,0.0,50008592.41000001,0.0001720707129187385,-0.0026532927701457556,-0.002649775899999929,0.0
2014-01-02 10:02:00,99662425.73000002,1.0,99506.68,49852846.68,99662425.73000002,-0.0007281606047104235,-0.003381453374856179,-0.0033757426999998508,0.5002170709255923
2014-01-02 10:03:00,99662425.73000002,0.0,0.0,0.0,99662425.73000002,0.0,-0.003381453374856179,-0.0033757426999998508,0.0
2014-01-02 10:04:00,99562105.40600002,1.0,100320.32400000001,50260482.324,49401943.40600002,-0.001007108230168847,-0.004388561605025026,-0.004378945939999768,0.5048153825096903
2014-01-02 10:05:00,99547040.40600002,0.0,0.0,0.0,49401943.40600002,-0.0001513240385548824,-0.0045398856435799086,-0.004529595939999798,0.0
2014-01-02 10:06:00,99543785.33400002,1.0,766.072,383802.072,49784213.33400002,-3.2699367117378516e-05,-0.004572585010697287,-0.004562146659999766,0.003855610580934068
2014-01-02 10:07:00,99550025.33400002,0.0,0.0,0.0,49784213.33400002,6.268401796214376e-05,-0.004509900992735144,-0.004499746659999748,0.0
2014-01-02 10:08:00,99561725.33400002,1.0,0.0,0.0,49784213.33400002,0.00011752194407636175,-0.004392379048658782,-0.0043827466599998255,0.0
2014-01-02 10:09:00,99583695.33400002,0.0,0.0,0.0,49784213.33400002,0.00022064278470904615,-0.004171736263949736,-0.004163046659999781,0.0
2014-01-02 10:10:00,99614650.36400002,1.0,764.97,383249.97,49400963.36400002,0.00031079605747438415,-0.0038609402064753518,-0.003853496359999764,0.0038473253542483307
2014-01-02 10:11:00,99658404.36400002,0.0,0.0,0.0,49400963.36400002,0.00043913614675951623,-0.0034218040597158357,-0.0034159563599998055,0.0
